store_code,name,county,city,address,zip,latitude,longitude
OSM-n462043825,Fine Wine & Good Spirits,Montgomery,,1 Station Circle,,40.0050944,-75.2617083
OSM-n596257468,Fine Wine & Good Spirits,Philadelphia,Philadelphia,Germantown Avenue,19119,40.0600864,-75.1911432
FWGS-4629,Fine Wine & Good Spirits — Fairway Shopping Center,Montgomery,Dresher,1825 Limekiln Pike,19025,40.1306159,-75.1666404
FWGS-1514,Fine Wine & Good Spirits — Gateway,Chester,Wayne,161 East Swedesford Road,19087,40.0732372,-75.4337949
FWGS-2206,Fine Wine & Good Spirits — Mid-Town Plaza,Dauphin,Middletown,430 East Main Street,17057,40.2004374,-76.7234905
FWGS-4813,Fine Wine & Good Spirits,Northampton,Bethlehem,30 East 4th Street,18015,40.6103563,-75.3773174
FWGS-0266,Fine Wine & Good Spirits Premium Collection,Allegheny,Sewickley,521 Beaver Street,15143,40.5398449,-80.1795091
FWGS-2211,Fine Wine & Good Spirits,Dauphin,Hummelstown,1158 Mae Street,17036,40.2695064,-76.6859047
FWGS-0247,Fine Wine & Good Spirits,Allegheny,Pittsburgh,5956 Centre Avenue,15206,40.4590876,-79.9264796
FWGS-6312,Fine Wine & Good Spirits,Washington,Fredericktown,524 Front Street,15333,40.0010334,-79.9975784
FWGS-802,Fine Wine & Good Spirits,Bradford,Towanda,85 Reuter Boulevard,18848,41.7825589,-76.4509353
FWGS-0260,Fine Wine & Good Spirits,Allegheny,Pittsburgh,1955 Wharton Street,15203,40.4315885,-79.978208
FWGS-4623,Fine Wine & Good Spirits,Montgomery,Flourtown,1440 Bethlehem Pike,19031,40.10373,-75.2122589
FWGS-0205,Fine Wine & Good Spirits,Allegheny,McKeesport,149 5th Avenue,15132,40.3509039,-79.8668933
FWGS-4001,Wine & Spirits — Wilkes-Barre Township Marketplace,Luzerne,Wilkes-Barre,2136 Wilkes-Barre Boulevard,18702,41.2388173,-75.8567488
FWGS-4640,Fine Wine & Good Spirits — Cheltenham Plaza,Montgomery,Wyncote,8156 Ogontz Avenue,19095,40.076396,-75.159645
FWGS-4646,Fine Wine & Good Spirits — Ardmore Plaza,Montgomery,Ardmore,62 Greenfield Avenue,19003,40.0085427,-75.2978968
FWGS-4611,Fine Wine & Good Spirits — Park Towne Plaza Shopping Center,Montgomery,Royersford,301 North Lewis Road,19468,40.1926861,-75.5344483
FWGS-410,Fine Wine & Good Spirits,Beaver,Aliquippa,2719 Brodhead Road,15001,40.6088645,-80.2837376
FWGS-5408,Fine Wine & Good Spirits — Sharp Plaza,Schuylkill,Pottsville,888 Gordon Nagle Trail,17901,40.6713315,-76.2349602
FWGS-6714,Fine Wine & Good Spirits — Shrewsbury Commons Shopping Center,York,Shrewsbury,802 Shrewsbury Commons Avenue,17361,39.7668084,-76.6693975
FWGS-2219,Fine Wine & Good Spirits,Dauphin,Harrisburg,333 Market Street,17101,40.2614065,-76.8800253
FWGS-9118,Fine Wine & Good Spirits — Ivyridge,Philadelphia,Philadelphia,7146 Ridge Avenue,19128,40.0441219,-75.2323803
FWGS-0604,Fine Wine & Good Spirits,Berks,,4721 Perkiomen Avenue,,40.3072592,-75.8568057
FWGS-3620,Fine Wine & Good Spirits — Main Street Center,Lancaster,Mount Joy,763 East Main Street,17552,40.1102349,-76.4862009
FWGS-3611,Wine & Spirits Shoppe,Lancaster,Elizabethtown,1575 South Market Street,17022,40.1394365,-76.5863888
FWGS-4613,Fine Wine & Good Spirits — Noble Town Center,Montgomery,Jenkintown,935 Old York Road,19046,40.1084027,-75.1217071
FWGS-2215,Wine & Spirits,Dauphin,Harrisburg,4227 Union Deposit Road,17111,40.2764432,-76.8165204
FWGS-3617,Wine & Spirits — Wheatland Center,Lancaster,Lancaster,1761 Columbia Avenue,17603,40.038519,-76.3523629
FWGS-6705,Fine Wine & Good Spirits — Queensgate Towne Center,York,York,2075 Springwood Road,17403,39.9402416,-76.6942112
OSM-n2613720867,Fine Wine & Good Spirits,Philadelphia,Philadelphia,180 West Girard Avenue,19123,39.9692043,-75.1388106
FWGS-4904,Fine Wine & Good Spirits,Northumberland,Milton,551 Mahoning Street,17847,41.0121791,-76.844759
FWGS-2102,Fine Wine & Good Spirits — West Shore Plaza,Cumberland,Lemoyne,1200 Market Street,17043,40.2408192,-76.9084714
FWGS-6510,Fine Wine & Good Spirits — Hillcrest Shopping Center,Westmoreland,Lower Burrell,3220 Leechburg Road,15068,40.5828476,-79.7098832
FWGS-0224,Fine Wine & Good Spirits,Allegheny,Pittsburgh,1824 Murray Avenue,15217,40.4361515,-79.9230594
FWGS-4003,Fine Wine & Good Spirits,Luzerne,Dallas,2161 Memorial Highway,18612,41.3276386,-75.9463029
FWGS-4023,Wine and Spirits Shoppe — Insalaco Shopping Center,Luzerne,West Pittston,801 Wyoming Avenue,18643,41.3252785,-75.806889
FWGS-4034,Wine & Spirits — Midway Shopping Center,Luzerne,Wyoming,1008 Wyoming Avenue,18644,41.3004016,-75.8533515
FWGS-4036,Fine Wine & Good Spirits — West Side Mall,Luzerne,Edwardsville,160 West Side Mall,18704,41.2576189,-75.9012161
FWGS-707,Fine Wine & Good Spirits,Blair,Altoona,613 Pleasant Valley Boulevard,16602,40.5110095,-78.3802379
FWGS-0296,Fine Wine & Good Spirits,Allegheny,Bethel Park,5249 Library Road,15102,40.3324558,-80.0220517
FWGS-5905,Wine and Spirits,Tioga,Mansfield,187 North Main Street,16933,41.8117627,-77.0808992
FWGS-2201,Fine Wine & Good Spirits — Kline Plaza,Dauphin,Harrisburg,29 Kline Village,17104,40.2712537,-76.8423574
FWGS-2515,Fine Wine & Good Spirits — Perry Plaza,Erie,Erie,2208 Broad Street,16503,42.1257864,-80.0452156
FWGS-9208,Fine Wine & Good Spirits,Allegheny,Wexford,125 Towne Centre Boulevard,15090,40.6322687,-80.0567037
FWGS-0234,Fine Wine & Good Spirits,Allegheny,Pittsburgh,1012 West View Park Drive,15229,40.5160425,-80.037839
FWGS-3601,Fine Wine & Good Spirits,Lancaster,New Holland,681 West Main Street,17557,40.0963135,-76.1107562
FWGS-4807,Fine Wine & Good Spirits,Northampton,Hellertown,1848 Leithsville Road,18055,40.5636403,-75.3402811
FWGS-9203,Fine Wine & Good Spirits,Allegheny,Leetsdale,3 Quaker Village Shopping Center,15056,40.559543,-80.2030603
FWGS-4804,Fine Wine & Good Spirits — Stefko Center,Northampton,Bethlehem,1844 Stefko Boulevard,18017,40.6382907,-75.3473271
OSM-n3583877310,Fine Wine & Good Spirits,Northampton,Easton,111 Northampton Street,18042-3633,40.691533,-75.2055564
FWGS-0286,Fine Wine & Good Spirits,Allegheny,Pittsburgh,1130 Perry Highway,15237,40.5481489,-80.0356503
FWGS-0292,Fine Wine & Good Spirits,Allegheny,Pittsburgh,4801 McKnight Road,15237,40.5238385,-80.0071608
FWGS-9213,Fine Wine & Good Spirits,Allegheny,Pittsburgh,2356 Golden Mile Highway,15239,40.4619749,-79.7047249
FWGS-0273,Fine Wine & Good Spirits,Allegheny,Pittsburgh,3202 Brighton Road,15212,40.4756459,-80.0305875
FWGS-4635,Fine Wine & Good Spirits — Regency Square,Montgomery,Willow Grove,1029 North Easton Road,19090,40.155849,-75.1205382
OSM-n3786849937,Fine Wine & Good Spirits,Dauphin,Harrisburg,1200 North 3rd Street,17102,40.2687912,-76.8884426
FWGS-0270,Fine Wine & Good Spirits,Allegheny,Pittsburgh,3643 California Avenue,15212,40.4814588,-80.0417776
FWGS-278,Fine Wine & Good Spirits,Allegheny,Pittsburgh,4065 Butler Street,15201,40.4695102,-79.9614619
FWGS-5156,Fine Wine & Good Spirits,Philadelphia,Philadelphia,4233 Chestnut Street,19104,39.9564972,-75.208126
FWGS-927,Fine Wine & Good Spirits — Plumstead Square,Bucks,Plumsteadville,5837 Easton Road,18949,40.3868761,-75.1449303
FWGS-303,Fine Wine & Good Spirits,Armstrong,Leechburg,163 3rd Street,15656,40.6283458,-79.6073848
FWGS-0267,Fine Wine & Good Spirits,Allegheny,Coraopolis,5990 University Boulevard,15108,40.5204893,-80.219463
FWGS-9206,Fine Wine & Good Spirits,Allegheny,McKees Rocks,510 Pine Hollow Road,15136,40.4746162,-80.0980601
FWGS-6306,Wine & Spirits,Washington,Monongahela,243 West Main Street,15063,40.2024768,-79.9250725
FWGS-6524,Fine Wine & Good Spirits,Westmoreland,Belle Vernon,321 Tri-County Lane,15012,40.1379266,-79.8413427
FWGS-3608,Fine Wine & Good Spirits — Manor,Lancaster,Lancaster,1234 Millersville Pike,17603,40.0270948,-76.3237081
FWGS-2801,Wine & Spirits — Wayne Plaza,Franklin,Chambersburg,987 Wayne Avenue,17201,39.9161112,-77.6522028
FWGS-6304,Wine & Spirits,Washington,Charleroi,105 3rd Street,15022,40.1364956,-79.8950643
FWGS-0265,Fine Wine & Good Spirits,Allegheny,Russellton,908 Little Deer Creek Valley Road,15076,40.6080532,-79.8323354
FWGS-1527,Fine Wine & Good Spirits — Devon Village,Chester,Wayne,821 West Lancaster Avenue,19087,40.0489115,-75.411731
FWGS-935,Fine Wine & Good Spirits — Warwick Square,Bucks,Jamison,2395 York Road,18929,40.2589341,-75.0845887
FWGS-0284,Fine Wine & Good Spirits,Allegheny,Pittsburgh,10 Old Clairton Road,15236,40.3397293,-79.9657689
FWGS-6511,Fine Wine & Good Spirits — Willowbrook Plaza,Westmoreland,Belle Vernon,4627 Route 51,15012,40.1855947,-79.8097676
